店名,住所,営業時間,定休日,座席,緯度,経度
らーめん豚の道,〒310-0836 茨城県水戸市元吉田町1626,11:30〜14:30／17:30〜21:00※ラストオーダーは各30分前,月曜,カウンター5席、小上り4人掛×1卓,36.353642,140.480408
つけめん・らーめん 活龍 茨大前店,〒310-0903 茨城県水戸市堀町1093-1,11:30～21:30（通し営業）,しばらくは定休日なし,カウンター14席、テーブル4卓,36.400181,140.438812
らーめん漢道,〒309-1717 茨城県笠間市旭町307-4,【日・月・火・水・土】10:00〜15:00【金】17:00～22:00臨時夜営業あり,木曜日,カウンター6席、テーブル2席×2卓,36.326000,140.318405
常陸味噌らーめん むとう,〒312-0052 茨城県ひたちなか市東石川2433-56,11:15〜14:30／17:30〜21:15[土・日・祝] 11:15〜14:45／17:00〜21:15※各ラストオーダー,不定休,カウンター5席、テーブル4人掛×5卓、小上がり4人掛×2卓,36.413559,140.529083
ラーメン 富次郎 堀町店,〒310-0903 茨城県水戸市堀町962-2,11:30〜14:00 （L.O.）17:30〜22:00 （L.O.）,火曜日,カウンタ3席，テーブル2人x3卓，4人x2卓,36.403286,140.432800
ラーメン異国龍,〒305-0005 茨城県つくば市天久保2丁目20-7 レガートホソダ103号,11:30〜14:30／17:30〜22:00（L.O.21:30）,月曜日,カウンター8席、テーブル6×1卓,36.097523,140.112595
味噌のジョー 牛久店,〒300-1233 茨城県牛久市栄町6-48-1,11:00〜14:30／17:00〜24:00[土] 11:00〜24:00[日] 11:00〜22:00,不定休とありましたが先日来店した際''木曜日定休日''との貼紙がありました,,35.986088,140.148239
つけめん・らーめん活龍 水戸米沢店,茨城県水戸市米沢町799-1,11:30～14:30／17:30～22:00※売り切れ次第終了,無休,カウンター9席、テーブル4人掛け×4卓,36.349861,140.462097
俺の生きる道 つくば店,〒305-0031 茨城県つくば市吾妻3-12-1,11:00～22:00※ラストオーダーは各30分前,定休日なし,テーブル24席,36.090515,140.112091
一麺惚 守護神,〒309-1116 茨城県筑西市横塚913-1,10:30～14:00／18:00～21:00[日] 10:30～14:00／18:00～20:00,月曜日※祝日の場合は営業、翌日休,カウンター8席程、小上り席3卓,36.319679,140.006226
ラーメン 龍郎,〒305-0031 茨城県つくば市吾妻3-8-1 吾妻ハイツ105,11:30～14:30／17:30～22:00※材料切れ終了,無休,カウンター10、4人掛けテーブル2,36.089272,140.110931
